Education,Years of Experience,Skills,Employability
Bachelor,5,"Python, Data Analysis",1
Master,3,"Machine Learning, Data Analysis",1
Doctorate,10,"Python, Machine Learning, Data Analysis",1
Bachelor,2,"Python, Machine Learning",0
Master,8,"Project Management, Machine Learning",1
Not specified,0,"",0
Bachelor,4,"Python, Data Analysis",1
Master,2,"Machine Learning, Data Analysis",0
Doctorate,15,"Data Analysis, Research",1
Bachelor,5,"Python, Data Analysis",1
Master,3,"Machine Learning, Data Analysis",0
Doctorate,10,"Python, Machine Learning, Data Analysis",0
Bachelor,2,"Python, Machine Learning",0
Master,8,"Project Management, Machine Learning",0
Not specified,0,"",0
Bachelor,4,"Python, Data Analysis",0
Master,2,"Machine Learning, Data Analysis",0
Doctorate,15,"Data Analysis, Research",1
Associate,1,"HTML, CSS",0
Bachelor,7,"Java, Spring Framework",1
Master,5,"Python, R, Data Visualization",1
Doctorate,20,"Deep Learning, Python",1
Bachelor,3,"JavaScript, React",0
Master,6,"Data Science, Python",1
Doctorate,12,"Machine Learning, Data Science, AI Ethics",1
Associate,2,"Technical Support, Hardware Troubleshooting",0
Bachelor,10,"Project Management, Agile",1
Master,11,"Cybersecurity, Network Security",1
Doctorate,18,"Quantum Computing, Python",1
Bachelor,0,"",0
Master,1,"Intern, Machine Learning",0
Doctorate,30,"AI Research, Neural Networks",1
Associate,4,"Web Development, PHP, JavaScript",1
Bachelor,8,"SQL, Database Management",1
Master,15,"Statistics, R, Econometrics",1
Doctorate,25,"Genomics, Bioinformatics",1
Bachelor,3,"Customer Support, CRM Software",0
Master,7,"Cloud Computing, AWS",1
Doctorate,22,"Robotics, Python, C++",1
Bachelor,5,"Python, Data Analysis",1
Master,3,"Machine Learning, Data Analysis",1
Doctorate,10,"Python, Machine Learning, Data Analysis",1
Bachelor,2,"Python, Machine Learning",0
Master,8,"Project Management, Machine Learning",1
Not specified,0,"",0
Bachelor,4,"Python, Data Analysis",1
Master,2,"Machine Learning, Data Analysis",0
Doctorate,15,"Data Analysis, Research",1
Associate,1,"Customer Service, Communication",0
Bachelor,7,"Java, SQL, Backend Development",0
Master,5,"Python, R, Data Visualization, Statistics",0
Doctorate,20,"AI, Deep Learning, Research",0
Bachelor,3,"JavaScript, Frontend Development",0
Master,10,"Cyber Security, Network Security",0
Doctorate,12,"Bioinformatics, Python, Research",1
Associate,2,"Administrative Support, Office Software",0
Bachelor,10,"Project Management, Agile, Scrum",1
Master,14,"Data Science, Big Data Analysis",1
Doctorate,18,"Quantum Computing, Theoretical Physics",1
Bachelor,0,"None",0
Master,1,"Intern, Marketing",0
Doctorate,30,"Advanced Computing, Neural Networks",1
Associate,5,"Networking, Technical Support",1
Bachelor,6,"UX/UI Design, Graphic Design",0
Master,15,"Econometrics, Financial Analysis",1
Doctorate,25,"Climate Science, Environmental Research",1
Bachelor,1,"Help Desk, IT Support",0
Master,12,"Cloud Computing, AWS, Azure",1
Doctorate,22,"Robotics, Embedded Systems, C++",1
Bachelor,8,"SQL, Database Administration",1
Master,4,"Public Health, Epidemiology",0
Doctorate,16,"Material Science, Chemistry",1
Associate,3,"Retail Management, Sales",0
Bachelor,9,"Civil Engineering, Construction",1
Master,11,"Human Resources, Organizational Development",1
Doctorate,14,"Genetics, Molecular Biology",1
Associate,4,"Culinary Arts, Food Service Management",0
Bachelor,5,"Electrical Engineering, Circuit Design",1
Master,7,"Machine Learning, AI Applications",1
Doctorate,19,"Astronomy, Astrophysics",1
Master,3,"Cloud Computing, AWS",1
Bachelor,2,"Java, Web Development",1
Doctorate,7,"Physics, Research",0
Bachelor,0,"Customer Service",0
Master,5,"Cybersecurity, Ethical Hacking",0
Not specified,1,"Administrative Tasks",0
Bachelor,6,"Data Analysis, Python",0
Master,2,"Financial Analysis, Excel",0
Doctorate,13,"Chemical Engineering, Research",0
Associate,3,"Nursing, Patient Care",0
Bachelor,5,"Marketing, Digital Advertising",0
Master,8,"Urban Planning, GIS",0
Doctorate,21,"Clinical Psychology, Research",1
Bachelor,4,"Electrical Engineering, PLC Programming",1
Master,11,"Statistics, R",1
Doctorate,17,"Artificial Intelligence, Deep Learning",1
Associate,1,"Graphic Design, Adobe Suite",0
Bachelor,12,"Software Engineering, System Architecture",0
Master,14,"Biotechnology, Lab Research",0
Doctorate,20,"Astrophysics, Data Analysis",0
Bachelor,1,"Retail Sales, Customer Interaction",0
Master,0,"Internship, Machine Learning",0
Doctorate,29,"Environmental Science, Field Research",0
Master,7,"Python, Flask, Backend Development",1
Associate,2,"Automotive Mechanics, Diagnostics",0
Bachelor,7,"Python, Flask, Backend Development",0
Master,16,"Public Administration, Policy Analysis",1
Doctorate,22,"Mathematics, Theoretical Research",1
Bachelor,3,"Journalism, Media Production",0
Master,9,"Operations Management, Lean Six Sigma",0
Doctorate,18,"Biomedical Engineering, Clinical Trials",1
Bachelor,5,"Civil Engineering, Infrastructure Projects",1
Master,6,"Human Resources, Recruitment",1
Doctorate,15,"Materials Science, Nanotechnology",1
Associate,3,"Paralegal, Legal Assistance",0
Bachelor,10,"Accounting, Financial Reporting",1
Master,12,"Computer Science, Data Structures",1
Doctorate,14,"Education, Curriculum Development",1
Associate,4,"Culinary Skills, Restaurant Management",0
